RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10
102001,United States,0,182900,179300,175300,172100,171000,170700,169900,168500,165800,162000,159800,158300,156800,152700,149100,148200,150000,152200,154100,155400,156800,157300,158700,159400,160300,157600,155200,152500,152700,153100,154700,154000,153700,152300,152800,152100,149400,146600,144300,144500,145400,145500,145600,145400,145800,146300,145900,146000,146500,147800,149300,150800,152900,155000,155800,156200,156800,159000,160400,161200,161900,163000,164900,166400,169500,171800,173000,172700,171800,171800,171500,172200,172200,172500,172700,173600,175200,176800,177900,178400,178600,179300,180500,182800,184500,186100,186800,187400,188200,188200,188500,187900,188100,189600,191300,192600,192600,193000,193100,194400,195400,197400,197800,199400,201100,202100,203400,204000,205400,205100,205400,206000,207100,208200,210100,211300,213100,213700,216800,220800,224300,224300,221700,220100,219600,219700,219800,220500,222400,223300,226800,229600,232600,232300,232100,232700,233500,234400,234800,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362200,362800,362000,361700,362100,360800,356200,354700,352000,353600,349200,343900,339800,338500,341000,345800,349600,353500,355000,355300,352300,350000,352200,355600,354100,352900,348700,352400,348900,354500,354600,359300,362400,365300,366800,362700,361200,361800,365100,365100,363800,363100,363400,363400,364900,364200,361500,360000,360400,367700,370000,370700,366700,363800,365000,362800,362300,361600,362200,363800,366000,364800,364000,363100,363500,363900,362000,363800,365200,364900,366900,365900,366600,362400,363400,363400,367100,368800,369600,371200,369000,370000,369200,373200,375400,377700,376000,376900,377400,380700,381500,382600,382300,382900,382300,383300,384500,387200,388300,388600,390600,392400,393700,394900,395600,397800,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,471300,459500,443100,432100,417900,405700,391300,379000,366600,355300,341300,331600,325000,319300,316200,322700,332800,341700,348100,353600,360400,362500,365300,363100,361300,357500,360300,358300,360500,356300,361300,359200,360800,356200,352500,351600,349900,351100,346500,343000,341000,340000,339900,335300,334100,332400,332500,332300,332700,338000,340000,344700,348800,356300,364600,371200,378700,386000,390900,395300,401700,414600,426100,436500,442900,447400,450200,451400,452500,452500,450700,452700,452200,456200,460000,462600,465700,467000,471100,474200,475700,476600,476800,482300,486700,491800,490400,493900,495200,500100,499800,499800,501500,508500,515600,517300,517500,519000,523600,525500,526700,530100,532600,529900,527200,522700,525300,521600,525900,528200,536000,537900,540000,542500,549800,561100,577900,587300,595800,599900,607100,608100,609200,611200,613700,615000,617400,621900,627300,625000,625700,623100,627700,631400,630500,630300,632200,635100,638900,640900
394463,"Chicago, IL",3,254400,249400,232900,220700,218600,219700,223900,223000,217800,212800,206400,205300,202100,195800,186800,180600,182000,186500,189900,192100,192500,192400,193000,195200,193500,189200,181900,178800,174300,175200,173500,177800,177800,178700,176900,175400,171200,165300,157900,155500,157500,161400,163000,161100,157400,156200,153500,153500,153500,154600,153900,155100,157000,159000,158300,156200,157200,156700,158500,155500,155400,154800,158800,162900,171200,176200,180100,180800,181800,182500,181800,182600,181000,179600,179000,182400,186800,191100,194300,194300,192900,190800,191400,191500,192800,193600,194300,194000,192700,187700,185400,183200,182600,181100,180100,181600,182700,184000,184400,184600,186000,188500,188700,190200,191000,194400,196500,200600,203600,204200,202500,199300,198000,198100,199300,200600,201400,203400,205700,210800,217500,219400,217000,214700,216000,217200,217000,218200,223100,220300,223100,228000,238900,239100,235100,229000,227200,226000,227200,228500
394514,"Dallas-Fort Worth, TX",4,145300,144000,142300,141900,144000,146000,146200,144200,142900,140900,140700,140600,141000,139500,139900,142200,145900,148100,148800,148100,147000,145300,145100,145500,146400,147200,145700,146000,146400,150200,151900,150700,149500,149400,151500,150800,147200,142900,141000,141900,144800,147100,149000,148800,147700,148800,149900,151600,152300,153300,155400,157100,159300,160000,162200,162200,162100,161600,163100,163900,164200,166900,169900,172600,175300,176700,178400,177100,177700,177300,176800,177300,178000,179000,179300,180500,182600,184300,184900,185500,186700,189200,192000,193600,194400,194800,196700,198500,200800,201300,202200,202100,202600,203300,205100,207400,208900,209900,211600,214300,215800,217200,219000,221600,224600,225300,228500,231600,234000,233900,232800,232700,232700,234200,236300,238600,239600,241700,244900,249100,250500,249200,247300,247200,248400,246700,246700,245300,247100,247200,249800,250900,251100,250300,251400,253200,254400,256600,259500,262800
394974,"Philadelphia, PA",5,212200,211900,207900,200000,196000,196100,198400,198200,199100,196200,195500,194400,198500,198900,194600,188900,185600,187600,189900,192000,194500,196900,199500,200700,201400,201800,196100,190800,186900,184300,186200,187100,192600,194000,197100,198300,196300,192400,183700,180900,179400,181900,182000,182200,182500,183800,183900,186000,185900,185700,183700,183900,183200,184500,182000,183300,184800,189200,191100,190500,189400,188800,186900,187900,189900,193100,192900,192100,192200,192100,191900,190200,191500,190600,190200,189500,189300,190900,190600,191300,190100,189200,188900,188500,189500,191900,192000,192000,189900,190300,191200,191200,190600,186900,188100,190600,192200,190400,189500,191500,193500,192600,191900,190400,191200,194000,193800,196700,195900,197600,198400,199200,199900,197000,195800,194200,194700,195500,196400,194300,195800,196400,199400,197700,196600,196800,197200,197700,199500,201300,203500,206300,207800,213600,214200,216300,214000,212800,211500,
394692,"Houston, TX",6,145300,144100,141600,141600,142500,143900,145700,144000,140200,134800,133700,134300,136900,138800,141300,144100,146700,149200,150100,149400,147400,144900,143800,143700,144600,145400,143900,142900,141800,143600,144400,145100,146400,149000,148300,147600,144600,142600,140800,141600,143500,146100,146100,147300,147100,148700,147200,144500,143500,146900,150700,153800,154000,154700,153100,152900,154000,154800,154900,153200,154800,159000,163100,166100,168100,170000,170800,170500,171000,171300,171200,172700,173900,176300,176700,177200,176300,178300,179200,181200,180400,181000,182300,183100,184700,184400,185900,187400,189000,189700,187700,186800,184700,186400,188200,189600,188200,189000,191500,195400,198600,200000,201800,203100,206300,209100,210800,210900,211200,210800,211000,211100,211200,210800,211800,214800,217400,217300,216800,217900,218400,220200,220700,220200,219100,218200,220200,222600,226200,230000,228700,227100,224300,225900,226600,227500,226500,227000,228400,233000
395209,"Washington, DC",7,353200,343400,327400,313800,309600,307800,301200,292800,287400,280200,279100,274300,276900,271000,269000,270500,278200,288800,291900,289500,285700,283600,282400,278800,276300,278800,278800,276600,280500,276700,284800,281300,291200,289700,286900,286400,281500,280700,276700,277700,286400,293300,302200,293200,290100,281700,285000,279800,291000,297300,308300,311000,318500,320800,318900,316000,318300,317800,319300,315100,323700,327800,338100,340800,345700,347100,344700,340900,340500,340000,341900,339200,341100,338900,346000,347400,352300,348200,346400,345200,346700,350200,348700,349200,354600,356100,354400,346600,343900,342400,345400,347700,348600,343100,342600,345800,348400,349600,347000,347700,347800,349600,350200,353000,351700,352900,355100,356300,358500,358200,359900,359100,360300,360400,363000,362700,365600,368400,370600,372200,378200,381600,383000,376800,373100,374500,376400,378400,379300,379900,381800,384300,394000,394800,393700,385900,384800,384300,384700,
394856,"Miami-Fort Lauderdale, FL",8,253500,243200,234500,227500,225200,222500,214300,206200,194200,187000,174600,166100,157500,150300,142900,138400,139800,142100,144300,143700,144000,144400,143800,143200,142300,141000,140300,137800,134100,129500,125300,126500,127300,126600,120000,115600,112800,114600,117900,121000,124900,123600,123000,121400,121400,123900,126500,129900,130000,132400,132000,135500,135300,137300,138700,140800,142800,147400,151700,155200,153100,154600,158500,162400,165200,168500,171200,172100,172400,174500,176500,175700,176600,177500,179500,181300,185400,185800,187000,185700,190200,192400,193900,193800,195500,197800,202800,206300,208500,207600,207200,207200,204900,205600,206900,213400,215200,217600,217400,218700,219700,221800,225200,228300,227400,226700,226500,230700,232300,234100,233500,235600,235800,239500,240700,243700,242900,245800,248800,252800,254400,253200,251100,251000,251000,251600,251300,254600,257900,260000,258500,261100,264400,267600,266100,265700,265700,268400,268200,275100
394347,"Atlanta, GA",9,161300,153400,148500,145200,144700,146000,144600,142900,136000,130000,125700,123000,120300,115400,112600,112700,118100,123400,128200,130300,133000,133200,132100,126900,121700,118600,119200,119100,117900,115100,116300,116900,118800,117500,117200,111100,106000,100100,97800,96900,97100,98100,96200,92200,91600,92000,93400,92200,93300,94400,96000,96800,98700,101200,103500,104800,107000,110900,113700,117800,121300,126200,128900,133400,137600,140900,139800,138600,138200,139000,139400,140800,141000,142000,144600,150300,154200,156200,154600,155900,154900,159200,159100,162900,162600,171200,172800,174600,170300,170600,171500,170700,173000,173700,175700,174800,175100,174900,174500,172400,173100,173500,176000,176500,179500,179200,181900,181800,185300,185400,187000,188200,188700,187300,188300,190400,193100,194500,197100,201600,203400,204400,203500,204600,204700,201600,204000,205400,210100,210800,215800,218900,219700,217400,218000,219200,221000,220700,223900,
