RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10
9,California,1,393200,374200,352100,334900,320500,307000,293900,280300,266000,255200,243400,238200,230600,224400,219700,223400,232200,240200,246300,250400,255700,260500,264100,265000,263800,261300,263800,263400,266400,262500,264600,260600,259400,257000,256100,256200,252700,250500,245900,243900,242900,243800,245300,244400,244700,243500,246100,246700,249200,253500,258100,262000,267400,271600,280100,284500,293400,300700,305400,307000,311400,319800,330900,339500,349500,354800,357800,358000,360100,362800,364100,366700,367000,369600,372200,373400,375700,377500,381100,381500,381300,381200,382600,387300,390900,394800,393800,395400,396800,399900,400200,400100,401700,406400,411900,411700,410200,409500,412800,414100,415400,417100,420400,421000,421100,419700,422100,422800,427800,428500,432600,435300,438000,439700,442500,449800,459100,463800,467400,471100,477800,481700,483200,483300,484400,484600,485000,486800,487400,485000,483800,486500,490100,492300,491400,492000,492700,492300,495700,500500
54,Texas,2,139600,139200,137600,137400,137700,139400,139500,139100,137000,134800,133700,134300,135900,136700,137500,139200,141200,142600,143000,142900,141900,140200,139400,139500,140800,141500,140200,139400,139300,141800,142500,142600,142700,144000,144100,143600,142100,140400,139500,139600,140700,141600,142400,143600,143900,144300,143200,142800,143600,146400,148800,150900,151600,152100,152000,152600,153600,153900,153500,152200,153300,157000,160900,163700,165000,165800,165900,166000,166300,166600,164900,165800,166300,168800,168700,169400,170200,171900,173300,174000,174500,175500,176700,177300,178600,179300,180900,182000,183400,184200,184100,184200,184300,185400,186800,187400,187800,188300,190300,192300,194300,195500,197000,199000,201100,202200,202300,203700,204600,206100,206200,207000,206600,207000,207900,209400,210800,211400,213200,215400,216600,217400,217300,217500,217300,217000,217700,218700,220100,221300,220900,221700,222200,224900,226300,227700,228400,229900,232100,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235300,237200,241900,248800,252600,249300,244700,242300,236800,236300,231600,228500,222500,221100,220200,224600,225100,229500,234700,236700,235600,234800,233300,236300,236100,238200,236700,237600,235100,242200,244400,251600,254400,261500,266900,265100,262300,258500,259100,255800,252300,252100,249200,245300,243200,243800,248000,247900,250600,252200,254700,253300,252100,248400,249200,244000,247600,248900,254700,256700,257200,252600,246600,248200,253200,251100,251500,250600,258000,256200,257100,256000,254900,254300,256800,258600,262600,261900,264100,263900,264800,267800,269900,272300,269800,269500,270900,275800,282500,284800,285700,286000,285400,285300,284200,286300,290500,292400,292000,287200,288600,289600,299800,304500,310300,308400,
14,Florida,4,203200,195300,189000,184300,181700,178100,173000,167100,162200,155800,149400,143800,138100,133100,127800,125400,126300,127300,128800,128300,129800,129700,129000,127400,125300,124300,121900,120900,118300,115900,113600,113900,115600,116700,113900,109800,106900,107900,110300,112200,114200,114400,114500,113500,114400,115900,117800,117800,118200,119600,120900,122200,121500,122300,122800,124500,127300,130400,132600,133000,133000,134700,136500,139300,141600,144400,145200,145300,146400,147600,148000,146900,146500,146900,147500,148200,150000,151400,152900,154000,156400,157700,158200,158100,160000,161500,163900,164600,165700,165900,167300,168600,169500,170300,172500,174600,176300,176800,177300,178500,180100,181500,182600,183500,184500,185400,187100,189000,191000,191700,192200,192900,194500,195900,196900,197800,199500,201800,205600,209100,213100,213500,212600,211600,212000,213300,214100,216200,220600,222700,225100,226800,227800,226100,223600,223300,225300,226700,228800,230700
21,Illinois,5,204300,199100,185500,177500,174400,176400,177400,176400,173500,170600,165800,163100,158700,153900,148100,144000,145500,150800,155500,158000,157200,159100,161700,164100,160400,155700,151000,150800,149200,148200,145000,145000,145300,146600,147200,146100,142800,137200,131900,130400,132100,135300,136600,134900,132100,131100,130700,129800,130400,131000,133100,133500,135100,136100,135300,133600,134000,133200,134200,132600,133000,133200,136200,140400,145400,148900,151800,153900,155100,156200,155900,156000,154000,153500,153700,156200,157900,159000,162300,163300,163600,162900,163300,165000,164300,164800,163700,163700,163700,162300,162000,160000,157400,155300,154300,155600,156600,158100,159200,159900,160200,161900,161500,162800,163700,165800,167800,169800,172400,172300,172200,169800,168400,168500,168800,170100,171000,172900,175200,178200,182800,185300,184000,185400,186000,185600,183000,181200,184600,182800,186600,190700,197800,200300,199800,197600,195100,192500,191800,193000
47,Pennsylvania,6,146700,145000,142800,139000,138900,140100,141100,139800,136800,134700,134100,135100,137300,137500,136700,135500,135200,137000,139100,140200,141800,142800,142300,141800,142500,144000,142900,139100,136400,133800,133100,133300,135700,137400,138300,138400,137200,134800,131900,130500,131000,131500,131100,131200,131400,133600,136100,137800,137700,137600,138100,138400,138500,138000,137800,137100,138400,140500,142100,142400,141400,141700,140900,141000,141800,142200,142600,141600,140800,140600,140300,141500,141800,140500,139400,138900,140000,141000,141600,141300,141700,142500,143300,143300,144300,144400,144600,143800,144700,145600,146200,146000,145000,144500,145500,147000,147200,147200,147400,148900,149000,148900,148400,149000,149800,150800,151300,151800,152900,153400,153700,154900,156300,156800,155900,155900,156500,157300,159700,159700,163400,162000,162400,160100,159600,159100,158800,158700,161200,162300,164400,166500,168000,169300,168500,169500,169700,170000,170400,
44,Ohio,7,114900,112000,110100,108900,108900,108100,106600,103900,98400,93800,90200,90800,91000,93000,94500,98000,100900,103500,105900,107900,109800,109100,106700,106600,106900,107400,107200,106900,103400,99500,95800,96000,96200,99800,99800,97800,91600,89700,90500,94100,96900,98000,96200,95200,93700,96000,95000,94600,93000,94500,98000,100500,104600,106200,106500,105200,104500,105500,105400,103900,103300,101600,104300,106800,111100,112100,111300,108800,109300,108200,109200,108000,109600,110100,111100,112800,115100,116400,116600,116200,115400,116000,113100,113900,113800,116200,117300,117600,119100,118800,119000,119100,116400,116200,115600,120200,121300,123500,122900,123000,122000,122000,122000,123700,124300,125700,127000,128500,128400,128200,126600,126500,125300,126500,127500,129300,130400,131700,133200,136400,136600,135900,133100,132000,131700,131900,132400,133600,134100,136000,137600,141700,143500,143100,142200,142300,143500,142500,142700,
30,Michigan,8,94800,91700,87300,82400,82100,81500,81200,78400,81900,77100,71200,58500,55200,52900,52700,52100,55400,58800,63000,65100,78000,81400,82000,70800,67800,68000,68700,69100,68100,65200,63100,61800,70300,71200,72400,63600,61500,59500,58900,60200,62600,64400,65400,64300,64600,66300,67100,66200,63800,65000,67000,69400,70800,73300,74900,74800,70900,71800,73400,78900,81200,83200,84800,86400,91000,95000,98000,97100,93300,91600,91900,94500,94800,95500,97800,102200,105800,108100,110100,109700,107300,102200,103900,106900,112400,113600,116100,118200,119500,119300,118700,116400,119700,119700,122800,122100,124800,125400,125200,124500,124600,124900,125300,127800,149200,152100,152400,134200,133000,133600,131800,132600,131800,132400,132800,135100,158800,161400,162700,143200,144100,143900,142400,140600,140500,140900,140800,140000,162100,164100,166400,149100,151400,152400,150000,148100,148200,148600,149200,
16,Georgia,9,144200,138900,135800,133300,132300,133700,132700,132000,127800,123600,122500,122200,121800,117900,114800,114500,117100,120800,124000,125700,127200,127500,127000,123300,119900,117100,117200,116400,114700,113000,113500,114400,115000,113900,113800,109700,106600,101600,99600,97600,97500,98000,96500,93800,93000,92800,94000,92800,94100,95000,96100,96400,97600,100400,102000,102000,103800,107300,109900,111500,113200,117000,119400,122400,124500,127000,126000,126000,125400,126700,127100,128300,128300,128900,130800,134700,136600,138000,136600,138500,138200,141800,141400,144500,144500,150600,151700,153300,150700,151700,153100,153000,153700,153100,154700,154700,155700,156100,156600,155400,156200,155900,158000,158200,161300,161300,163500,162300,165600,165300,166800,166100,166900,166700,168400,170100,172600,174100,176100,178600,180000,180700,179900,180000,180200,179300,181900,182400,186300,186200,190100,191600,193100,192800,194300,195100,197000,197200,198800,
36,North Carolina,10,153500,151900,147600,146400,147000,146700,145800,146100,143700,143200,141300,147300,148700,148000,143400,142100,144000,145400,146800,147400,148400,147300,149000,149600,150300,147000,143900,143200,144000,144300,144700,144500,145400,146300,145500,145400,142000,140300,138600,139500,140700,142000,141100,140900,140100,142000,141600,142300,141700,142600,142200,142900,142900,143800,143900,145100,145700,147600,147200,147900,146900,147700,147400,147700,148600,149500,150000,150100,150100,151400,150700,150900,149600,149300,149700,150200,151700,152100,153600,154400,154600,154900,157100,161500,163600,163900,163400,163500,163900,163100,163300,163000,163200,163700,165000,165400,164600,164300,164200,166200,166400,168600,169000,171100,171300,171100,170100,169800,171100,171900,171500,172500,173800,174800,174300,175000,177100,179000,181700,186100,190400,191700,190600,189200,189300,189400,190200,191200,192800,192600,192000,193300,195400,198800,199100,200300,201600,202800,205400,207300
